company_id,nama_perseroan,kbli,alamat_lengkap,kode_pos,maksud_tujuan,modal_dasar,modal_ditempatkan,modal_disetor,nilai_nominal_saham,jumlah_saham,direktur_utama,direktur_nik,direktur_npwp,komisaris_utama,komisaris_nik,komisaris_npwp,jangka_waktu,tanggal_akta,notaris,npwp_perusahaan,status_perusahaan,is_suspicious,risk_score,pemegang_saham_1_nama,pemegang_saham_1_nik,pemegang_saham_1_npwp,pemegang_saham_1_persentase,pemegang_saham_2_nama,pemegang_saham_2_nik,pemegang_saham_2_npwp,pemegang_saham_2_persentase,pemegang_saham_3_nama,pemegang_saham_3_nik,pemegang_saham_3_npwp,pemegang_saham_3_persentase
PT_0011,PT. Batu Sempit Sawit Indonesia,46691,"Jl. Sentot Alibasa No. 23
Madiun, Lampung 81679",67898,Usaha perkebunan kelapa sawit dan pengolahan hasil,4479778299,1220284799,580876876,5000000,244,Farid Kusuma,32012508775140,24.129.552.1-440.410,Andi Budiman,32150604731531,15.528.483.9-730.921,17 tahun,2023-06-08,Nova Nashiruddin,92.344.797.3-892.695,Aktif,True,77,Linda Putra,18711805842488,45.328.466.3-544.270,65.78,Ratna Setiawan,32012006672664.0,96.354.619.6-479.220,34.22,,,,
PT_0012,PT. Uni Andalan Utama,1134,"Jalan Rawamangun No. 45
Prabumulih, Sulawesi Selatan 39301",85656,Usaha perkebunan kelapa sawit dan pengolahan hasil,15544461822,4074945015,3131437162,5000000,814,Hadi Permana,31741311950857,95.830.408.6-747.107,Endang Putra,32150610668661,21.294.795.1-472.262,Tidak terbatas,2016-12-12,Asmuni Suryono,94.881.561.1-367.525,Aktif,False,11,Endang Hidayat,31741101658516,55.992.402.1-248.188,74.82,Andi Gunawan,18711103608599.0,63.491.512.2-754.125,18.8,Bayu Wibowo,34712607918700.0,64.430.312.4-907.245,6.380000000000006
PT_0013,PT. Manggala Dharma Putra,10411,"Jalan Joyoboyo No. 1
Jayapura, MA 28040",13598,Usaha perkebunan kelapa sawit dan pengolahan hasil,86608120996,65781053850,55012094958,5000000,13156,Umar Wijaya,32151112806815,30.765.519.8-310.177,Ahmad Rachmadi,64711907826515,49.840.261.1-382.142,Tidak terbatas,2008-07-19,Puti Prasasta,46.651.773.1-880.628,Aktif,False,39,Joko Darmawan,34712710889849,35.719.634.1-591.172,11.53,Ahmad Wijaya,32733011602515.0,66.718.774.8-530.911,10.76,Bayu Budiman,35782311999576.0,31.418.111.5-410.531,13.64
PT_0014,PT. Mega Benua Utama,1134,"Jl. PHH. Mustofa No. 9
Banjarmasin, Sumatera Barat 45795",45086,Usaha perkebunan kelapa sawit dan pengolahan hasil,75589822343,27457845783,27277308227,5000000,5491,Citra Darmawan,31742604989691,88.397.784.6-782.382,Sari Gunawan,32731607927852,47.817.951.2-696.245,Tidak terbatas,2010-11-18,"Hj. Usyi Simbolon, S.Kom",40.153.337.2-856.114,Aktif,False,39,Kartika Putra,32150311800472,15.797.360.8-749.278,33.4,Andi Darmawan,34710705961803.0,29.863.414.9-154.277,66.6,,,,
PT_0015,PT. Wara Nusantara,1134,"Jalan Abdul Muis No. 199
Sukabumi, Kalimantan Utara 90660",85412,Usaha perkebunan kelapa sawit dan pengolahan hasil,1972880263,533955092,76166354,5000000,106,Ahmad Hakim,34710510979053,35.718.154.8-589.161,Joko Permana,32152507734614,77.373.495.4-436.733,19 tahun,2023-12-12,Olivia Nababan,34.950.568.6-129.795,Aktif,True,74,Indra Wibowo,32731201873885,69.213.703.1-217.883,77.64,Umar Putra,64711906966353.0,81.571.846.7-104.988,16.32,Ratna Sari,32152707829982.0,87.709.496.3-227.870,5.42
PT_0016,PT. Kaltim Bangun Jaya,1134,"Gg. Rungkut Industri No. 4
Solok, Sulawesi Tenggara 78068",8575,Usaha perkebunan kelapa sawit dan pengolahan hasil,2312124784,368091745,55693452,1000000,368,Maya Putra,32732105958170,13.604.674.2-300.418,Hadi Rahman,32730108653820,61.751.672.3-820.575,19 tahun,2023-11-01,Asirwanda Pratama,73.706.985.8-923.415,Aktif,True,93,Yudi Gunawan,35782301655287,60.199.992.5-939.403,13.09,Wati Wijaya,32011910607012.0,46.565.548.2-118.460,51.63,Joko Sari,31740410734731.0,30.103.437.1-941.662,12.12
PT_0017,PT. Agro Indomas-EK,10411,"Jl. HOS. Cokroaminoto No. 7
Kota Administrasi Jakarta Timur, Gorontalo 14265",50766,Usaha perkebunan kelapa sawit dan pengolahan hasil,2615667933,573070031,200757593,5000000,114,Bayu Hakim,32731605670284,37.342.967.4-744.742,Joko Darmawan,32010705896137,95.617.612.9-468.996,15 tahun,2025-02-21,Hasna Hassanah,12.576.253.9-659.387,Aktif,True,79,Maya Firmansyah,35781311686076,98.547.607.7-238.394,37.45,Farid Kusuma,64712706814931.0,28.435.578.3-112.144,36.2,Umar Wijaya,32731205608126.0,19.204.490.3-955.283,22.77
PT_0018,PT DITJEN PERIKANAN,10411,"Jl. Setiabudhi No. 246
Binjai, Banten 61008",60014,Usaha perkebunan kelapa sawit dan pengolahan hasil,49196081189,34235024631,25066654980,5000000,6847,Joko Sari,18711904920123,44.522.713.6-562.280,Dian Hakim,32732807859525,76.813.639.3-492.680,Tidak terbatas,2019-03-28,Almira Maryati,58.767.318.1-244.769,Aktif,False,32,Ahmad Maulana,32152003585688,37.724.390.5-614.308,67.27,Farid Wijaya,18710106865835.0,17.793.773.9-787.420,19.4,Wati Setiawan,34712106891322.0,99.853.539.9-663.943,13.330000000000004
PT_0019,PT. ADI HARDIAN BERSAUDARA,10412,"Jl. Erlangga No. 23
Jayapura, KU 22993",68915,Usaha perkebunan kelapa sawit dan pengolahan hasil,17575861387,5527241596,5511048350,10000000,552,Gina Wijaya,64711008646467,35.420.895.5-476.386,Andi Putri,18710104992236,31.125.472.9-104.403,Tidak terbatas,2016-03-09,"T. Latif Pratiwi, S.Sos",81.683.235.6-196.576,Aktif,False,39,Maya Putra,64712911746153,78.980.437.7-332.155,100.0,,,,,,,,
PT_0020,PT. TANAH TUNJUNG PLATEU,1135,"Jalan Rawamangun No. 32
Padang Sidempuan, MA 74551",92458,Usaha perkebunan kelapa sawit dan pengolahan hasil,45076627806,26077515292,21011452867,5000000,5215,Kartika Santoso,32011407935042,55.599.645.9-452.768,Indra Maulana,32732801734276,72.128.914.5-454.552,Tidak terbatas,2019-04-05,Diah Hasanah,51.424.332.8-987.139,Aktif,False,20,Gina Pratama,32151205954314,58.854.974.8-285.595,20.9,Joko Permana,32152810633793.0,77.534.352.2-556.224,24.19,Linda Sari,34710510718655.0,97.659.607.9-649.344,26.32
PT_0021,PTPN XIII,1134,"Jalan BKR No. 463
Pasuruan, SB 95289",24329,Usaha perkebunan kelapa sawit dan pengolahan hasil,59601274671,29182376481,23616309546,5000000,5836,Ratna Santoso,64710812678448,52.295.603.8-176.224,Bayu Firmansyah,31740412628977,96.229.622.3-953.572,Tidak terbatas,2020-04-05,Farhunnisa Anggriawan,24.622.482.6-782.398,Aktif,False,21,Vina Setiawan,31741510763150,69.717.729.4-675.267,72.93,Fitri Pratama,32732910815966.0,75.679.623.4-272.832,27.069999999999997,,,,
PT_0022,PT. AGRO CITY KALTIM,46691,"Jl. Pacuan Kuda No. 00
Padang Sidempuan, DI Yogyakarta 51731",47124,Usaha perkebunan kelapa sawit dan pengolahan hasil,4614264597,1068340441,452928679,10000000,106,Vina Setiawan,32731311725769,25.584.704.3-301.365,Endang Putra,32151511813954,81.792.709.6-618.482,13 tahun,2025-04-24,Betania Waluyo,87.496.287.5-939.929,Aktif,True,75,Fitri Wijaya,31742401959644,89.112.580.4-622.599,63.84,Kartika Santoso,32152610747887.0,25.942.406.1-559.562,36.16,,,,
PT_0023,PT. WANA SAWIT SUBUR LESTARI,1135,"Gang Dipenogoro No. 537
Kediri, Riau 31423",45057,Usaha perkebunan kelapa sawit dan pengolahan hasil,1576882705,338320088,44918749,5000000,67,Gina Wahyudi,32013007827986,35.840.553.2-720.609,Bayu Firmansyah,18710505703526,40.997.659.2-776.873,24 tahun,2024-07-03,"Nugraha Napitupulu, S.Pd",83.555.277.7-279.933,Aktif,True,80,Zaki Wardana,35782012616085,67.783.893.7-595.384,74.82,Linda Darmawan,34711504709404.0,83.569.391.1-965.470,20.67,Putra Wijaya,18712811836363.0,75.512.270.5-280.250,5.03
PT_0024,PT. WANASAWIT SUBUR LESTARI,10411,"Jalan Gegerkalong Hilir No. 39
Banjar, Kepulauan Riau 73350",67412,Usaha perkebunan kelapa sawit dan pengolahan hasil,50422828054,19847222321,18646854628,1000000,19847,Umar Kurniawan,32732004004859,89.335.622.5-678.784,Ahmad Hakim,18712707648197,44.433.977.3-799.573,Tidak terbatas,2007-04-27,Septi Melani,45.991.982.8-472.557,Aktif,False,30,Fitri Maulana,18712211809862,44.229.593.5-166.260,32.83,Sari Kusuma,32733012797532.0,66.770.559.5-255.815,37.45,Linda Firmansyah,18711409850588.0,24.773.723.8-325.655,29.72
PT_0025,PT. SURYA MAS CITRA PERKASA,10412,"Jl. Merdeka No. 01
Binjai, DKI Jakarta 18579",10310,Usaha perkebunan kelapa sawit dan pengolahan hasil,52669245787,22434544151,18964255573,5000000,4486,Andi Kurniawan,32010805910799,58.286.481.2-820.658,Andi Nugroho,34711209885878,14.747.103.5-933.112,Tidak terbatas,2008-01-04,Gilda Pranowo,32.558.277.3-632.943,Aktif,False,33,Ratna Santoso,35782412971184,35.966.586.7-796.227,37.03,Sinta Syahputra,32152512740565.0,57.825.926.2-754.539,50.29,Tono Kusuma,32010103905849.0,64.487.139.5-343.353,10.0
PT_0026,PT. BERKAH ALAM FAJAR MAS,1134,"Gg. W.R. Supratman No. 594
Pekalongan, Papua 37941",73863,Usaha perkebunan kelapa sawit dan pengolahan hasil,49827436369,39018992554,37003607844,10000000,3901,Gina Wahyudi,32731303813780,84.340.268.2-705.869,Zaki Hartono,34712112733227,78.310.131.9-515.715,Tidak terbatas,2007-03-27,"Azalea Saragih, S.T.",53.627.202.7-170.167,Aktif,False,23,Vina Syahputra,18711207721108,50.605.834.7-220.932,76.47,Citra Hidayat,32732907667113.0,91.759.413.9-528.772,16.06,Wati Hakim,18712701698723.0,56.904.367.4-287.540,9.09
PT_0027,PT. KAHAYAN AGRO LESTARI,10412,"Jl. Rawamangun No. 26
Madiun, KI 62365",15462,Usaha perkebunan kelapa sawit dan pengolahan hasil,59060076560,34181022630,34049678897,5000000,6836,Joko Darmawan,64712009842013,67.770.113.9-620.538,Umar Wijaya,32732204671967,72.566.858.4-713.401,Tidak terbatas,2011-07-29,"dr. Amelia Nababan, S.T.",58.985.916.8-573.512,Aktif,False,33,Joko Sari,64711610920896,78.395.367.7-345.965,10.21,Umar Wijaya,34712804596291.0,48.391.685.2-452.395,60.74,Fitri Firmansyah,31740311640260.0,85.466.507.1-489.114,26.58
PT_0028,PT KOP. WARGA JAYA,2200,"Gang Dipenogoro No. 9
Kendari, Kalimantan Timur 03014",74996,Usaha perkebunan kelapa sawit dan pengolahan hasil,98219851965,41371513885,29008367263,1000000,41371,Zaki Hartono,18711909889510,97.767.303.7-917.818,Bayu Nugroho,31742504920256,38.440.952.3-330.726,Tidak terbatas,2006-11-13,Ir. Prabawa Waskita,80.696.896.4-866.387,Aktif,False,30,Umar Kurniawan,32151111899637,77.350.215.5-726.974,27.52,Ratna Setiawan,31742804873234.0,32.475.692.2-346.950,62.82,Oki Wardana,32151910559708.0,64.852.207.4-658.424,9.660000000000004
PT_0029,PT. SANGKOWONG SINTA,10412,"Jl. Sukabumi No. 5
Palopo, Maluku 98045",76304,Usaha perkebunan kelapa sawit dan pengolahan hasil,74799002892,36958272109,36561430583,10000000,3695,Ratna Setiawan,35782012674649,44.429.116.1-568.165,Ratna Setiawan,31742906568306,72.147.361.4-383.183,Tidak terbatas,2016-02-02,"dr. Kania Nurdiyanti, S.Kom",75.148.943.4-864.311,Aktif,False,39,Sinta Firmansyah,64713107766342,83.540.189.1-362.534,100.0,,,,,,,,
PT_0030,PT. PULANG PISAU PERDANA,10412,"Jalan Yos Sudarso No. 7
Cirebon, JK 58964",37603,Usaha perkebunan kelapa sawit dan pengolahan hasil,63386184063,45007867803,44932068577,10000000,4500,Vina Wardana,32151103666885,11.192.549.2-268.162,Andi Putri,32150603607195,69.969.839.4-686.472,Tidak terbatas,2009-06-04,Slamet Padmasari,84.790.177.3-470.681,Aktif,False,25,Umar Putra,31741203742912,31.484.326.2-628.733,44.61,Ratna Setiawan,32152512886966.0,15.356.758.1-368.800,11.71,Maya Kurniawan,32731305751924.0,66.697.410.5-326.765,43.68
PT_0031,PT. LEMO JAYA,1135,"Jalan Gardujati No. 68
Kota Administrasi Jakarta Timur, Kalimantan Selatan 75550",41179,Usaha perkebunan kelapa sawit dan pengolahan hasil,73019973725,53729733430,40054745445,5000000,10745,Ahmad Wijaya,35781607571994,80.263.557.9-189.403,Zaki Hartono,18712407677933,12.146.708.4-685.229,Tidak terbatas,2012-02-17,Violet Tampubolon,48.490.970.4-532.837,Aktif,False,26,Joko Kurniawan,31740404947454,60.817.699.7-967.769,29.44,Ratna Sari,32153105798682.0,33.822.307.1-969.278,61.92,Tono Hakim,35781910924571.0,70.234.249.1-136.936,9.17
PT_0032,PT. GLOBALINDO AGUNG LESTARI,2200,"Jl. Ahmad Yani No. 66
Ternate, BB 62648",64402,Usaha perkebunan kelapa sawit dan pengolahan hasil,86763732059,51430209335,44039681604,5000000,10286,Andi Budiman,32010204007023,93.558.717.6-503.941,Gina Nugroho,34711803879004,65.125.468.9-208.995,Tidak terbatas,2008-04-07,Cinthia Utama,45.473.377.2-163.137,Aktif,False,40,Vina Santoso,64710112594430,83.984.870.8-747.957,100.0,,,,,,,,
PT_0033,PT. GRAHA INDO SAWIT ANDAL TUNGGAL,1135,"Gg. Raya Ujungberung No. 6
Tanjungpinang, BA 53918",55263,Usaha perkebunan kelapa sawit dan pengolahan hasil,49531767067,33575636775,27298052816,5000000,6715,Fitri Wahyudi,35782205894561,33.371.191.4-634.378,Endang Hidayat,34710303551391,66.502.960.6-806.464,Tidak terbatas,2008-10-31,"Kartika Hidayat, S.T.",68.318.789.7-707.671,Aktif,False,16,Gina Rachmadi,34710212672788,63.210.768.1-215.621,100.0,,,,,,,,
PT_0034,PT. RIMBA SAWIT UTAMA PLANINDO,46691,"Gg. Asia Afrika No. 0
Banda Aceh, SU 22071",18525,Usaha perkebunan kelapa sawit dan pengolahan hasil,74160435535,42999598451,34769729071,5000000,8599,Joko Putra,32732507812809,88.477.491.6-129.450,Bayu Gunawan,32152205842844,94.240.769.9-888.903,Tidak terbatas,2009-11-18,"dr. Yahya Sihotang, S.Pd",38.902.231.4-862.923,Aktif,False,26,Putra Firmansyah,34712106550216,21.279.621.4-266.651,28.2,Fitri Wijaya,64710306713124.0,99.691.311.9-846.796,50.61,Dewi Wijaya,32152311652383.0,72.995.965.5-502.131,19.43
PT_0035,PT. BORNEO EKA SAWIT TANGGUH,46691,"Jalan Cempaka No. 413
Prabumulih, Papua Barat 19553",2062,Usaha perkebunan kelapa sawit dan pengolahan hasil,29796516632,7925354324,7041304463,1000000,7925,Fitri Firmansyah,32011307924330,68.850.794.5-392.637,Linda Kusuma,64711801684452,12.956.504.4-692.594,Tidak terbatas,2010-02-01,Dwi Nashiruddin,57.338.710.7-753.806,Aktif,False,37,Fitri Maulana,34711103862426,56.988.255.7-987.300,100.0,,,,,,,,
PT_0036,PT. Malindo Jaya Diraja,1135,"Gg. Cihampelas No. 157
Tangerang Selatan, RI 39924",10166,Usaha perkebunan kelapa sawit dan pengolahan hasil,82925070988,54715679339,49727073243,5000000,10943,Bayu Nugroho,32730603887757,39.383.869.3-225.766,Bayu Gunawan,32012309702029,72.479.784.1-892.563,Tidak terbatas,2008-08-10,Carub Yuliarti,47.964.332.5-365.991,Aktif,False,21,Zaki Putra,34712503820247,24.862.551.8-854.773,74.06,Umar Budiman,64712503980531.0,74.478.184.3-760.367,25.94,,,,
PT_0037,PT. Kintap Jaya Wattindo,2200,"Gang Rajawali Timur No. 8
Singkawang, KB 26890",75241,Usaha perkebunan kelapa sawit dan pengolahan hasil,2763745598,551062065,243427425,10000000,55,Wati Setiawan,18712511619461,12.274.283.4-590.191,Farid Rachmadi,31742308649770,44.675.400.4-720.422,18 tahun,2024-02-02,"Raharja Anggraini, M.Kom.",24.874.725.7-998.251,Aktif,True,89,Wati Wijaya,64711108565126,95.687.166.5-434.899,49.18,Kartika Santoso,18711305747919.0,77.754.511.7-541.201,47.49,Linda Gunawan,32010803827055.0,70.748.990.3-405.450,5.41
PT_0038,PT. Damit Mitra Sekawan,1135,"Jl. Ahmad Yani No. 733
Batu, KI 63010",32451,Usaha perkebunan kelapa sawit dan pengolahan hasil,44769427721,19327238177,17059603412,10000000,1932,Maya Putra,32151111916711,90.980.804.3-766.383,Farid Wibowo,32150201627806,67.499.777.5-567.784,Tidak terbatas,2008-03-25,Cut Safina Hidayanto,94.190.326.8-457.791,Aktif,False,19,Ahmad Wardana,32150312950306,89.997.868.6-756.617,63.31,Vina Putri,64712611545445.0,80.198.900.8-729.282,17.09,Endang Kusuma,35781608626766.0,63.246.352.1-843.773,17.91
PT_0039,PT. Bersama Sejahtera Sakti,2200,"Jalan HOS. Cokroaminoto No. 5
Balikpapan, Sulawesi Utara 43749",62079,Usaha perkebunan kelapa sawit dan pengolahan hasil,69377782542,39090029622,33954319929,10000000,3909,Yudi Gunawan,31742908842793,14.308.536.2-605.205,Tono Pratama,32011608870685,93.951.519.5-144.263,Tidak terbatas,2020-11-21,Bagiya Andriani,96.201.784.6-665.496,Aktif,False,19,Dian Maulana,64712108599709,90.376.535.7-394.700,100.0,,,,,,,,
PT_0040,PT. Inti Gerak Maju,10412,"Jl. Erlangga No. 66
Subulussalam, MU 75309",2507,Usaha perkebunan kelapa sawit dan pengolahan hasil,54109531000,22383498753,20179072919,5000000,4476,Joko Sari,32731203931269,83.942.765.6-193.900,Zaki Putra,31742605605477,13.333.306.2-870.526,Tidak terbatas,2019-11-11,"Daniswara Nuraini, S.I.Kom",43.590.592.1-290.534,Aktif,False,17,Putra Wijaya,32150101793202,52.859.986.9-670.252,60.87,Ratna Wibowo,32153107990869.0,67.209.230.4-800.733,36.61,Andi Budiman,34710407990261.0,51.790.827.8-985.453,9.56
PT_0041,PT. Sawita Karya Manunggal (SKM),46691,"Jl. M.H Thamrin No. 44
Denpasar, Sulawesi Tenggara 60393",93745,Usaha perkebunan kelapa sawit dan pengolahan hasil,37223329984,14524220598,12196739394,5000000,2904,Andi Budiman,64711204657432,91.566.289.2-711.359,Endang Wibowo,18711310965918,23.942.401.4-704.996,Tidak terbatas,2008-10-02,"Darman Puspita, S.Kom",80.118.662.8-372.520,Aktif,False,39,Yudi Wibowo,31742307629952,11.986.224.6-852.659,71.18,Sinta Firmansyah,64710201663567.0,55.692.578.9-817.814,16.82,Nana Darmawan,18712106935463.0,81.322.343.8-892.898,10.68
PT_0042,PT. Golden Land Makmur,1134,"Gang Gegerkalong Hilir No. 443
Salatiga, Kepulauan Riau 32976",60419,Usaha perkebunan kelapa sawit dan pengolahan hasil,1300179383,388354519,64508886,5000000,77,Ahmad Darmawan,35780601565031,21.817.164.4-582.979,Putra Permana,34712910935038,11.895.101.8-953.228,11 tahun,2024-05-28,"Cut Ade Lestari, S.I.Kom",19.527.114.6-286.529,Aktif,True,72,Gina Wardana,64711610704773,18.773.547.2-506.611,72.26,Vina Setiawan,32153101677634.0,44.730.738.9-897.252,10.13,Dian Hakim,31742802005624.0,41.232.833.4-630.659,15.21
PT_0043,PT. Natuna Inti Makmur,1134,"Jalan Monginsidi No. 34
Tual, BB 47458",87867,Usaha perkebunan kelapa sawit dan pengolahan hasil,11448042706,2998148949,2391575074,10000000,299,Andi Kurniawan,31742501790774,80.863.188.2-185.539,Hadi Kurniawan,32153101596379,10.239.888.6-904.233,Tidak terbatas,2007-12-21,Citra Puspasari,24.980.919.8-645.632,Aktif,False,38,Indra Permana,32732604857432,47.915.252.9-764.244,62.63,Gina Syahputra,35782602996274.0,60.157.559.5-187.154,23.38,Bayu Kurniawan,32013103898301.0,47.217.464.4-397.631,11.74
PT_0044,PT. Kaliau Mas Perkasa,1135,"Gg. Soekarno Hatta No. 038
Balikpapan, Kepulauan Riau 01372",67581,Usaha perkebunan kelapa sawit dan pengolahan hasil,3663703648,706337253,270793351,1000000,706,Gina Wijaya,64710610873483,13.813.655.8-465.525,Gina Nugroho,64711612596028,29.734.749.1-723.553,21 tahun,2024-10-02,Gilda Widiastuti,70.996.899.9-146.491,Aktif,True,70,Endang Wardana,64710802646159,71.990.404.7-442.174,50.25,Bayu Wardana,32732901571891.0,67.972.822.1-861.787,27.67,Tono Hakim,64711812801451.0,59.803.305.8-853.599,22.08
