company_id,nama_pemegang_saham,nik,npwp,persentase_kepemilikan
PT_0023,Dian Sari,64710503674060,17.956.134.1-618.894,42.96
PT_0023,Vina Sari,31742805968015,44.773.625.1-669.870,34.85
PT_0023,Maya Putra,32732611653665,54.698.994.7-379.360,22.189999999999998
PT_0024,Joko Budiman,64712711919544,82.204.143.6-914.232,26.52
PT_0024,Indra Wijaya,35783012948437,80.146.241.4-680.683,73.48
PT_0025,Citra Wahyudi,32732109781904,58.192.303.1-710.449,100.0
PT_0026,Bayu Hakim,64710105807372,72.261.283.1-249.276,44.16
PT_0026,Joko Budiman,18712808855597,84.227.380.3-213.325,48.65
PT_0026,Budi Permana,18712406897724,62.727.554.4-902.706,6.77
PT_0026,Wati Nugroho,35782207925185,20.599.756.5-513.842,0.42000000000000526
PT_0027,Hadi Pratama,32730502648583,51.972.409.4-512.619,57.73
PT_0027,Endang Kusuma,32151901614719,79.143.303.5-416.744,34.4
PT_0027,Citra Hidayat,31742809543703,32.774.880.1-791.879,7.22
PT_0027,Wati Pratama,18710501919018,83.163.252.9-867.167,0.6500000000000048
PT_0028,Fitri Gunawan,32151112864428,71.739.368.6-133.321,78.94
PT_0028,Oki Sari,32011610565860,35.185.217.4-156.576,13.81
PT_0028,Putra Putri,31742706605698,26.708.728.1-504.186,9.38
PT_0028,Kartika Hartono,32010912992527,25.752.497.7-480.209,-2.129999999999999
PT_0029,Vina Putri,18712201699032,86.325.807.8-425.331,100.0
PT_0030,Oki Putri,18710408581374,47.905.136.4-289.803,57.43
PT_0030,Farid Putra,18712802691642,39.716.184.3-663.160,42.57
PT_0031,Oki Hartono,64711703560618,39.178.314.9-465.347,70.06
PT_0031,Eko Permana,32012301880584,84.616.215.6-202.978,18.58
PT_0031,Maya Wibowo,32012106846317,66.893.232.9-487.245,10.14
PT_0031,Umar Permana,35781004662133,20.640.970.8-429.689,1.2199999999999989
PT_0032,Ahmad Kusuma,31743003568370,84.678.962.2-826.992,21.12
PT_0032,Dewi Sari,64711910982123,41.123.308.3-103.140,78.88
PT_0033,Gina Wahyudi,35780901732967,99.180.202.6-757.666,65.28
PT_0033,Ratna Firmansyah,64712705719415,17.165.427.7-858.698,34.72
PT_0034,Joko Putri,32152607852735,49.921.797.6-745.169,38.49
PT_0034,Wati Wardana,35780103618346,44.933.548.2-344.826,22.26
PT_0034,Ratna Hidayat,64712811907593,33.306.526.2-453.535,19.52
PT_0034,Bayu Firmansyah,35782912638045,35.424.544.6-155.998,19.73
PT_0035,Maya Putra,34711810848117,76.415.563.9-517.526,47.74
PT_0035,Tono Wibowo,18711211749899,48.959.617.2-249.239,44.59
PT_0035,Vina Putri,31741309550506,51.772.876.8-821.263,8.18
PT_0035,Sari Pratama,18710901625628,44.667.334.5-846.527,-0.5100000000000051
PT_0036,Joko Gunawan,64711102938203,82.700.470.7-929.382,76.77
PT_0036,Andi Permana,64710106550252,84.814.591.7-856.613,18.71
PT_0036,Citra Wahyudi,32150506691320,54.145.100.6-218.395,9.32
PT_0036,Farid Kurniawan,34711610762172,24.985.938.6-428.279,-4.799999999999997
PT_0037,Umar Hakim,32012201661990,58.868.656.7-631.372,32.99
PT_0037,Dian Syahputra,35780206857846,17.624.962.5-985.251,38.7
PT_0037,Yudi Firmansyah,35781210956019,79.426.599.2-543.339,27.16
PT_0037,Wati Pratama,32012608591215,56.821.890.8-849.575,1.149999999999988
PT_0038,Maya Wibowo,31740904984957,84.712.534.2-722.901,15.1
PT_0038,Dewi Sari,34713107635994,35.732.718.1-613.913,44.39
PT_0038,Ahmad Kusuma,34710210859484,12.387.850.7-444.790,40.510000000000005
PT_0039,Putra Kurniawan,35781805991225,72.587.355.5-338.210,52.13
PT_0039,Budi Rahman,31740908553737,11.773.168.7-501.694,25.47
PT_0039,Gina Wahyudi,18711908981345,24.559.848.4-875.196,22.4
PT_0040,Gina Wahyudi,35782007894389,66.786.302.8-908.153,79.3
PT_0040,Zaki Budiman,64711206696180,71.767.951.7-126.674,15.03
PT_0040,Budi Syahputra,35782008594640,99.534.545.8-789.929,9.79
PT_0040,Yudi Putri,32011606660474,80.386.412.7-207.997,-4.119999999999996
PT_0041,Endang Hidayat,32731802872739,48.473.382.2-424.642,41.47
PT_0041,Dewi Pratama,35782703837213,84.374.696.6-776.371,38.1
PT_0041,Dewi Santoso,35781709847039,84.788.142.6-436.675,16.56
PT_0041,Farid Kurniawan,64710807845905,18.811.753.8-270.849,3.870000000000001
PT_0042,Sari Pratama,34711606762494,62.327.788.5-996.716,100.0
PT_0043,Citra Hakim,32012402960259,20.307.507.6-639.197,62.64
PT_0043,Ratna Wijaya,64710611920891,67.215.831.3-113.221,33.87
PT_0043,Joko Darmawan,32732712631124,78.437.786.6-393.284,3.490000000000002
PT_0044,Bayu Wibowo,32151212637596,91.988.989.4-262.769,72.84
PT_0044,Ahmad Gunawan,18711106623156,94.504.884.3-664.386,21.99
PT_0044,Budi Syahputra,32731712597218,17.417.258.8-119.657,5.169999999999998
PT_0045,Bayu Permana,31741310875795,78.912.997.5-947.756,44.28
PT_0045,Kartika Hartono,31740706690507,66.970.653.4-768.616,43.7
PT_0045,Dewi Santoso,18711505718983,59.658.598.8-507.912,12.019999999999996
PT_0046,Zaki Santoso,18712409693986,89.833.680.8-632.393,70.4
PT_0046,Eko Syahputra,34712406756508,44.720.786.4-483.470,17.86
PT_0046,Zaki Kusuma,32151508681864,20.367.274.9-454.360,11.739999999999995
PT_0047,Vina Putra,64710511638332,83.766.154.4-290.649,72.93
PT_0047,Farid Putra,31740709844758,48.879.103.5-175.662,24.09
PT_0047,Ahmad Kusuma,34711811992256,10.950.116.2-414.107,8.21
PT_0047,Gina Wibowo,64712906893157,65.510.836.7-604.295,-5.2300000000000075
PT_0048,Putra Sari,31742910839019,46.618.757.1-246.968,100.0
PT_0049,Dewi Pratama,32730303596886,31.393.163.6-160.974,45.71
PT_0049,Farid Hartono,32010301811110,11.484.996.2-159.565,36.86
PT_0049,Farid Putra,34712908924854,81.278.640.3-500.483,14.13
PT_0049,Dewi Sari,32732905859528,57.195.891.1-904.426,3.299999999999999
PT_0050,Sinta Hakim,32012706736328,92.630.188.4-401.859,66.43
PT_0050,Endang Pratama,32010902723581,38.112.703.6-928.501,24.06
PT_0050,Budi Putri,34712110870849,47.461.986.2-524.522,9.509999999999994
PT_0051,Joko Putri,32010511796407,78.962.983.4-530.739,26.85
PT_0051,Citra Hidayat,64712511708337,81.184.692.8-141.581,73.15
PT_0052,Dewi Kusuma,32731003853592,66.173.545.7-847.843,53.47
PT_0052,Indra Permana,32732208903335,56.520.644.3-556.643,31.21
PT_0052,Wati Setiawan,35780901679447,50.427.229.1-385.139,15.32
PT_0053,Dian Wibowo,35781808660530,93.567.271.8-684.726,42.15
PT_0053,Sinta Rahman,35781609863829,12.280.910.7-332.793,31.04
PT_0053,Sari Pratama,18710110605840,62.500.913.9-837.943,16.72
PT_0053,Indra Budiman,34712410724005,69.350.637.1-788.153,10.090000000000003
PT_0054,Hadi Pratama,32730111880174,21.335.797.6-288.659,48.84
PT_0054,Oki Hartono,32151002900898,74.280.635.3-112.279,23.3
PT_0054,Indra Budiman,32011306718500,33.179.918.2-251.373,22.96
PT_0054,Sari Pratama,64711004893416,15.376.711.6-834.532,8.54
PT_0054,Hadi Darmawan,32732911663055,44.105.354.7-696.452,-0.23
PT_0054,Bayu Firmansyah,32151812618705,89.712.452.2-966.326,-3.410000000000004
PT_0055,Tono Rachmadi,32150403681897,29.291.876.8-974.180,100.0
PT_0056,Kartika Hartono,34712607713214,61.344.305.5-766.595,37.07
PT_0056,Sari Darmawan,32733105842933,75.779.866.2-264.728,20.92
PT_0056,Citra Permana,32152205863971,51.268.332.8-950.484,42.01
PT_0057,Oki Budiman,64710511632865,65.281.403.2-958.561,61.79
PT_0057,Maya Darmawan,18711601753814,38.651.129.4-824.285,33.3
PT_0057,Kartika Hartono,32733009574655,46.597.966.6-390.636,3.97
PT_0057,Tono Rachmadi,32151712928420,59.402.240.8-851.203,0.9400000000000035
PT_0058,Wati Nugroho,18713107709836,81.237.527.7-763.542,20.06
PT_0058,Budi Putri,32152103738054,63.863.956.3-151.871,26.99
PT_0058,Hadi Santoso,64712301776213,42.302.436.6-678.787,23.9
PT_0058,Farid Kurniawan,35782302640589,73.446.536.6-739.455,29.050000000000004
PT_0059,Vina Sari,35780701748117,23.796.662.9-610.513,33.02
PT_0059,Maya Darmawan,18711011688632,11.800.724.8-978.114,29.65
PT_0059,Umar Permana,32150706973936,47.193.868.2-862.618,24.51
PT_0059,Joko Darmawan,32151407857617,95.697.389.8-746.848,12.81999999999999
PT_0060,Wati Santoso,32732405625201,16.372.868.8-557.816,100.0
PT_0061,Zaki Permana,32151408946457,46.718.162.3-483.961,75.03
PT_0061,Joko Budiman,64711409952399,69.454.124.8-677.450,12.78
PT_0061,Oki Budiman,35783103003281,46.325.363.6-242.698,10.31
PT_0061,Dewi Hartono,34711507862775,83.725.536.6-524.752,1.879999999999999
PT_0062,Hadi Pratama,18710207605476,83.254.162.3-609.433,52.38
PT_0062,Putra Wahyudi,18710108593420,31.351.517.9-244.160,47.62
PT_0063,Bayu Firmansyah,32150404911707,44.898.116.4-785.441,100.0
PT_0064,Citra Kusuma,35782502596828,33.711.830.4-857.881,39.38
PT_0064,Budi Rahman,32731205856245,71.380.735.4-421.575,18.13
PT_0064,Kartika Hartono,35780711941552,17.182.615.3-631.181,20.85
PT_0064,Ratna Hidayat,32730103755361,74.128.616.7-691.345,10.87
PT_0064,Vina Putra,35781005599220,20.840.692.4-864.610,10.769999999999994
PT_0065,Vina Sari,34712309550831,54.774.329.4-883.328,50.47
PT_0065,Budi Budiman,34711804861784,23.657.555.2-900.126,49.53
PT_0066,Joko Wijaya,18711807884730,23.376.516.8-229.560,44.5
PT_0066,Sari Pratama,32150509976016,74.912.181.1-131.500,44.17
PT_0066,Eko Santoso,64710404827281,15.164.122.7-740.886,10.27
PT_0066,Bayu Wibowo,34712507765439,41.140.885.4-864.970,1.0599999999999987
PT_0067,Budi Budiman,32012302974218,20.256.275.8-213.900,16.01
PT_0067,Farid Hartono,34713004009867,37.793.486.8-812.964,30.54
PT_0067,Wati Wibowo,32152403991890,33.166.162.8-633.481,53.449999999999996
PT_0068,Budi Budiman,32151908732449,22.971.896.9-637.138,100.0
PT_0069,Indra Firmansyah,34713103594607,65.522.134.7-238.658,100.0
PT_0070,Sinta Rachmadi,32730203625455,29.649.190.4-229.577,79.99
PT_0070,Citra Budiman,35780305876409,61.801.382.1-370.663,20.010000000000005
PT_0071,Endang Hidayat,32732503005872,63.541.854.5-147.851,13.1
PT_0071,Fitri Wardana,35781301980324,77.282.786.2-699.505,86.9
PT_0072,Endang Wahyudi,35782810571072,25.843.268.9-859.621,100.0
PT_0073,Dewi Hartono,35783006917768,54.557.247.4-971.253,75.58
PT_0073,Sinta Rachmadi,32732711803380,89.523.116.3-679.398,20.6
PT_0073,Farid Rachmadi,35780804760424,48.733.426.1-538.422,6.2
PT_0073,Oki Hartono,34710208845483,13.303.861.6-110.151,-2.38
PT_0074,Yudi Rahman,18712303584989,69.914.713.3-646.629,100.0
PT_0075,Dewi Pratama,34711104972157,58.828.183.8-192.646,54.82
PT_0075,Dewi Kusuma,18711511759355,64.422.374.1-440.851,45.18
PT_0076,Indra Wijaya,32731002603836,83.947.686.7-218.853,43.27
PT_0076,Linda Budiman,35782407681505,45.141.214.1-720.349,22.11
PT_0076,Sinta Rachmadi,35782805932447,21.794.531.1-321.483,12.14
PT_0076,Indra Wijaya,34711207778238,62.439.433.5-965.228,11.5
PT_0076,Yudi Rahman,18711201741584,97.129.229.8-904.374,9.99
PT_0076,Dewi Santoso,18712207617849,89.681.718.2-849.323,0.9899999999999967
PT_0077,Citra Nugroho,34711707845548,73.272.594.1-357.309,26.31
PT_0077,Ratna Permana,18710901783404,63.723.890.5-420.370,40.49
PT_0077,Ratna Permana,34710111905425,57.397.744.5-631.498,33.199999999999996
PT_0078,Gina Putri,18711507722447,63.677.497.7-841.280,49.59
PT_0078,Putra Kurniawan,64710110988585,74.314.588.4-461.676,13.09
PT_0078,Ahmad Kusuma,18710310923652,81.118.580.8-156.880,24.48
PT_0078,Wati Santoso,18713004722396,17.781.346.6-830.215,12.839999999999993
PT_0079,Wati Wahyudi,18711311956057,18.821.650.9-199.905,100.0
PT_0080,Putra Wijaya,64712908885508,77.353.370.7-426.529,16.06
PT_0080,Linda Wibowo,35783001629036,87.563.275.7-114.531,29.35
PT_0080,Wati Nugroho,32152405981096,56.186.445.6-993.945,54.589999999999996
SH_0001,Maya Wibowo,31740509757855,65.709.239.5-793.547,24.79
SH_0001,Citra Nugroho,31742105790675,89.413.371.8-450.839,14.9
SH_0001,Ratna Wibowo,32152409764986,45.324.766.4-448.689,11.62
SH_0001,Citra Budiman,18712011707155,83.101.106.8-171.972,23.46
SH_0001,Oki Wibowo,32152701598811,43.489.777.5-364.944,28.07
SH_0001,Sinta Santoso,18710106692795,51.339.273.3-319.476,26.19
SH_0001,Indra Permana,35780101878323,14.345.744.3-507.577,-29.02999999999999
SH_0002,Zaki Maulana,35782309690400,52.220.378.5-189.822,29.29
SH_0002,Indra Wijaya,31741702854739,38.228.131.4-401.663,20.4
SH_0002,Putra Hartono,64712811832591,52.593.533.7-893.426,10.37
SH_0002,Ratna Permana,32732701694829,51.126.953.9-518.960,39.94000000000001
SH_0003,Yudi Nugroho,32013006899547,70.803.102.1-323.600,11.58
SH_0003,Indra Wahyudi,32152111665112,52.220.734.3-536.994,16.29
SH_0003,Sinta Setiawan,35780403598570,95.867.393.7-496.603,8.17
SH_0003,Hadi Santoso,31740704880175,98.193.516.3-636.762,28.49
SH_0003,Putra Wahyudi,34711502815096,82.419.471.7-530.549,20.15
SH_0003,Oki Kusuma,31742507730053,72.358.324.5-141.675,15.32
SH_0004,Maya Putra,34712404773132,30.460.945.7-877.683,9.97
SH_0004,Endang Hartono,35782001727798,92.750.278.9-278.352,23.09
SH_0004,Bayu Firmansyah,32013012853254,37.830.788.5-938.821,20.35
SH_0004,Bayu Darmawan,34712212986952,31.921.994.7-147.472,14.66
SH_0004,Andi Kusuma,34710901560527,68.138.495.2-819.448,12.99
SH_0004,Zaki Santoso,31742310858571,82.513.889.5-917.600,18.939999999999998
SH_0005,Maya Wibowo,18712806558345,31.996.396.9-122.698,19.3
SH_0005,Wati Wibowo,32152303720431,96.660.858.8-537.661,21.93
SH_0005,Joko Gunawan,32011502002099,13.616.479.3-438.372,21.46
SH_0005,Andi Maulana,31741304552476,85.877.502.7-552.802,25.1
SH_0005,Vina Putri,18712601003897,22.267.946.8-907.901,27.32
SH_0005,Maya Wijaya,18712202824345,73.848.975.7-500.184,6.1
SH_0005,Endang Hidayat,32730212837128,10.509.820.3-936.382,14.39
SH_0005,Budi Budiman,32732011917501,89.930.555.6-876.908,-35.6
SH_0006,Sinta Rachmadi,18710804873095,51.374.193.4-222.329,27.69
SH_0006,Citra Hakim,64710404744943,10.138.823.4-490.659,5.86
SH_0006,Joko Gunawan,32732811731409,23.896.390.3-319.496,27.24
SH_0006,Farid Kurniawan,31741501825329,53.910.974.6-560.966,19.26
SH_0006,Citra Wahyudi,31742907812916,26.619.299.7-636.976,15.86
SH_0006,Maya Sari,35780701866146,45.778.609.6-593.592,27.6
SH_0006,Joko Gunawan,35782406876364,65.304.701.2-357.179,7.87
SH_0006,Vina Putri,34710801840196,31.434.891.8-654.804,-31.379999999999995
SH_0007,Oki Syahputra,64710211868104,91.805.563.4-966.161,23.96
SH_0007,Endang Pratama,34710510987456,41.937.432.4-960.776,17.08
SH_0007,Dewi Kusuma,35781006946721,16.160.349.7-664.938,22.95
SH_0007,Oki Budiman,18712206952390,76.234.940.4-523.908,29.85
SH_0007,Dewi Hartono,31740304943144,15.411.822.1-409.723,10.67
SH_0007,Dian Syahputra,18710809601527,84.286.281.8-742.855,12.28
SH_0007,Endang Kusuma,34712010643856,52.306.598.1-898.724,-16.79000000000001
SH_0008,Vina Hakim,35782806908829,39.878.645.7-743.625,13.3
SH_0008,Sari Nugroho,64711210690978,89.143.722.8-804.295,21.32
SH_0008,Oki Putri,32731209736618,35.877.791.7-807.878,24.44
SH_0008,Fitri Wardana,32012608755374,46.213.417.9-463.737,8.61
SH_0008,Vina Sari,32732306940893,11.120.983.1-396.920,32.33
SH_0009,Ahmad Gunawan,32731404933246,32.398.930.5-938.415,13.05
SH_0009,Sinta Rachmadi,18713004793406,13.220.386.7-495.333,8.16
SH_0009,Linda Budiman,34710304665350,58.175.265.8-795.241,78.79
SH_0010,Citra Wahyudi,35782508996271,74.539.413.4-241.233,27.87
SH_0010,Indra Syahputra,32731212671184,95.178.371.6-111.504,29.5
SH_0010,Andi Wahyudi,34710309984626,78.196.236.6-978.737,12.86
SH_0010,Sari Pratama,32150304553694,40.131.156.5-230.497,28.59
SH_0010,Endang Hidayat,18712207654407,33.368.704.1-409.805,18.95
SH_0010,Oki Syahputra,35781110549927,67.784.428.4-438.656,7.01
SH_0010,Sari Wijaya,31740602638153,34.349.406.2-391.289,19.46
SH_0010,Ratna Wibowo,32011012775429,21.327.175.1-571.623,-44.24
SH_0011,Ratna Wijaya,32152812932770,79.119.479.2-387.395,27.55
SH_0011,Budi Permana,64712411649946,88.106.899.4-361.811,8.08
SH_0011,Wati Setiawan,32732004954788,81.576.227.7-395.824,5.25
SH_0011,Eko Budiman,32010901764544,44.566.474.9-184.717,59.120000000000005
SH_0012,Linda Wibowo,35782103726315,21.325.354.1-496.769,16.32
SH_0012,Joko Putri,32150408615546,25.394.560.5-447.557,26.68
SH_0012,Sinta Rahman,32150312772815,61.162.501.9-661.536,10.46
SH_0012,Sinta Setiawan,32151302680666,91.805.547.3-117.671,23.83
SH_0012,Vina Sari,31743012654067,58.132.179.1-184.397,22.710000000000008
SH_0013,Maya Hakim,34711407659312,93.477.423.4-656.167,28.47
SH_0013,Umar Wahyudi,32732603827007,81.339.146.5-763.898,7.06
SH_0013,Citra Kusuma,32731004610043,15.201.936.7-200.687,22.3
SH_0013,Zaki Maulana,31741805846529,51.263.611.3-901.313,6.9
SH_0013,Eko Budiman,34713010922674,38.374.191.4-609.373,18.54
SH_0013,Maya Firmansyah,32013101621170,25.750.145.2-442.718,16.730000000000004
SH_0014,Maya Wijaya,64712510590433,84.826.284.5-236.389,14.06
SH_0014,Oki Wibowo,31741203720008,88.753.833.4-180.258,7.82
SH_0014,Bayu Darmawan,64712407621073,37.748.880.8-119.878,26.38
SH_0014,Dewi Kusuma,64711101950842,90.812.805.4-268.819,51.74000000000001
SH_0015,Citra Wijaya,32152311549176,17.328.357.2-565.668,16.9
SH_0015,Linda Wahyudi,32731012695348,29.607.880.3-554.364,18.26
SH_0015,Andi Maulana,64711210872058,93.799.954.8-234.834,64.83999999999999
SH_0016,Vina Putri,64710710848371,97.253.711.6-702.109,11.24
SH_0016,Citra Hakim,35781911997457,12.258.119.2-604.963,5.95
SH_0016,Umar Kurniawan,64710207912509,17.483.660.4-658.245,29.26
SH_0016,Putra Wahyudi,32732709772055,35.944.311.9-454.574,29.05
SH_0016,Linda Rahman,31742112723132,47.778.705.2-139.580,18.0
SH_0016,Sinta Santoso,64712211763096,77.709.762.9-124.336,6.4999999999999964
SH_0017,Kartika Hidayat,32730409974002,45.587.860.7-992.281,13.54
SH_0017,Putra Putri,32732105752008,70.239.623.1-990.659,23.83
SH_0017,Indra Syahputra,34712107753786,31.342.736.6-309.539,13.76
SH_0017,Wati Rahman,31740201810012,64.406.554.2-627.956,20.23
SH_0017,Ratna Hartono,18711308598506,94.823.708.1-630.547,28.64000000000001
SH_0018,Wati Setiawan,32010901657608,69.787.946.2-836.621,27.3
SH_0018,Dian Syahputra,18712407665880,53.631.484.2-462.599,28.07
SH_0018,Farid Hartono,35781911622690,37.206.840.3-634.903,15.84
SH_0018,Sari Rahman,31741909855955,96.575.917.5-228.217,6.91
SH_0018,Citra Nugroho,31743103670138,17.919.691.9-500.253,5.76
SH_0018,Vina Wardana,32011412950945,50.550.256.3-563.532,17.87
SH_0018,Budi Permana,35781906826209,48.455.729.2-849.951,-1.7499999999999964
SH_0019,Citra Darmawan,32731502656898,24.667.467.5-518.536,14.87
SH_0019,Zaki Maulana,18712710872984,63.223.936.3-669.297,15.21
SH_0019,Kartika Wijaya,64711402802645,55.392.898.9-293.561,16.64
SH_0019,Ratna Hidayat,35780105823944,68.244.418.7-184.787,15.56
SH_0019,Umar Hakim,34711303680559,39.296.568.2-295.254,13.79
SH_0019,Joko Wijaya,35782910814303,62.938.240.2-873.677,23.929999999999986
SH_0020,Zaki Budiman,34712611692970,36.176.974.8-718.402,13.2
SH_0020,Oki Kusuma,32732403727256,17.229.746.2-482.714,17.09
SH_0020,Maya Putra,18711308664138,12.642.118.6-704.348,5.52
SH_0020,Wati Pratama,32010304882967,44.915.240.5-285.417,23.41
SH_0020,Oki Sari,64710502937839,41.788.478.4-149.987,40.78
SH_0021,Yudi Rahman,32731110561135,31.264.796.5-501.901,23.98
SH_0021,Wati Rahman,18710909684761,14.495.232.8-791.688,25.44
SH_0021,Dewi Kusuma,32011801918376,90.493.288.6-743.374,24.4
SH_0021,Vina Sari,31741506771184,53.113.421.3-411.483,11.48
SH_0021,Ahmad Wahyudi,32730609589924,21.231.571.5-556.516,18.23
SH_0021,Fitri Rahman,32010611721860,98.401.821.1-497.451,-3.530000000000001
SH_0022,Citra Kusuma,18710802696707,88.552.262.5-526.351,20.34
SH_0022,Farid Kurniawan,18711501928760,35.909.837.4-414.164,21.1
SH_0022,Hadi Pratama,64710901994620,17.123.166.5-743.240,19.23
SH_0022,Andi Permana,34711205576919,48.850.601.9-612.303,5.09
SH_0022,Putra Kurniawan,32011207600944,41.659.361.5-153.911,5.98
SH_0022,Dewi Pratama,32152609890916,41.432.967.3-609.617,28.259999999999994
SH_0023,Vina Sari,31741812635285,94.387.172.1-317.627,27.86
SH_0023,Indra Budiman,32732607691963,54.697.871.3-653.993,22.74
SH_0023,Wati Nugroho,32152204793677,24.927.433.8-876.662,15.95
SH_0023,Bayu Rachmadi,31740502586646,25.957.897.9-783.976,29.31
SH_0023,Sari Pratama,32731212899080,88.168.533.9-989.956,19.75
SH_0023,Umar Hakim,35780705009664,17.829.518.3-989.462,10.78
SH_0023,Vina Sari,31742912991450,63.251.862.6-714.173,-26.389999999999993
SH_0024,Putra Wijaya,31740601833237,30.974.138.8-187.983,25.65
SH_0024,Putra Santoso,34710404971025,17.480.148.8-588.881,28.25
SH_0024,Endang Wahyudi,18712706882498,61.334.425.4-330.156,6.04
SH_0024,Endang Hartono,31741902894770,50.542.902.2-732.920,9.54
SH_0024,Endang Hakim,31741009990020,16.104.769.9-933.475,30.519999999999996
SH_0025,Budi Syahputra,32011504933993,55.330.766.7-457.789,26.51
SH_0025,Fitri Wardana,34710503989165,13.141.642.8-345.256,25.52
SH_0025,Oki Budiman,18711803994832,59.554.601.1-338.148,12.66
SH_0025,Gina Wibowo,64712012976984,82.955.817.1-168.600,14.49
SH_0025,Wati Rahman,18711612814851,64.954.199.7-556.418,26.14
SH_0025,Umar Kurniawan,32730209764711,48.433.451.7-903.150,11.96
SH_0025,Dewi Santoso,35781809759726,64.438.493.3-871.790,-17.28
SH_0026,Farid Rachmadi,34712904816955,24.413.627.5-319.516,18.99
SH_0026,Joko Gunawan,64712705637634,21.705.807.6-300.273,10.45
SH_0026,Vina Hakim,32012509776371,24.826.967.6-240.264,19.0
